City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,leningradskiy,69.3833,178.4167,-2.0,96,99,6.06,RU,1635625516
84,ballarat,-37.5662,143.8496,41.49,99,36,0.45,AU,1635625553
85,kruisfontein,-34.0033,24.7314,55.89,93,0,1.5,ZA,1635625371
86,katsuura,35.1333,140.3,58.1,64,100,3.2,JP,1635625627
87,iquitos,-3.7481,-73.2472,93.24,49,40,2.3,PE,1635625627
88,quang ngai,15.1167,108.8,73.99,93,60,3.29,VN,1635625628
89,vaini,-21.2,-175.2,77.16,88,20,9.22,TO,1635625629
90,karakulino,56.012,53.7067,41.58,94,94,10.65,RU,1635625630
91,lebu,-37.6167,-73.65,55.71,69,100,15.82,CL,1635625415
92,belyy yar,53.6039,91.3903,37.29,75,0,15.66,RU,1635625631
93,sidrolandia,-20.9319,-54.9614,74.19,34,99,4.59,BR,1635625632
94,bambous virieux,-20.3428,57.7575,71.85,88,20,3.44,MU,1635625391
95,matamoros,25.5333,-103.25,80.82,13,0,2.19,MX,1635625462
96,pevek,69.7008,170.3133,-2.96,96,100,10.63,RU,1635625357
97,qaanaaq,77.484,-69.3632,2.16,53,0,8.72,GL,1635625360
98,bani walid,31.7566,13.9942,70.18,50,68,6.29,LY,1635625636
99,ndele,8.4109,20.6473,75.13,64,59,1.68,CF,1635625637
100,faanui,-16.4833,-151.75,78.15,69,16,16.73,PF,1635625341
101,the valley,18.217,-63.0578,85.86,65,40,11.5,AI,1635625638
102,encruzilhada,-15.5314,-40.9094,75.78,66,100,6.76,BR,1635625639
103,lompoc,34.6391,-120.4579,73.69,79,20,10.36,US,1635625639
104,prince rupert,54.3161,-130.3201,47.89,71,78,6.91,CA,1635625554
105,churapcha,62.0025,132.4325,-12.82,100,97,2.93,RU,1635625641
106,harper,4.375,-7.7169,78.12,85,100,5.55,LR,1635625510
107,asau,46.4333,26.4,41.95,94,0,1.07,RO,1635625643
108,sinnamary,5.3833,-52.95,82.56,72,21,6.76,GF,1635625644
109,vardo,70.3705,31.1107,38.86,76,93,7.47,NO,1635625483
110,port alfred,-33.5906,26.891,63.97,89,69,7.49,ZA,1635625646
111,avarua,-21.2078,-159.775,75.25,60,100,16.11,CK,1635625646
112,ahuimanu,21.4447,-157.8378,83.79,63,20,5.75,US,1635625515
113,omsukchan,62.5333,155.8,-0.56,98,100,4.83,RU,1635625648
114,zhoucun,36.8167,117.8167,57.2,72,100,3.06,CN,1635625648
115,kupang,-10.1667,123.5833,79.47,82,100,4.65,ID,1635625649
116,pemangkat,1.1667,108.9667,79.12,84,37,1.68,ID,1635625650
